X Position_µm,Y Position_µm,MODULUS_GPa,HARDNESS_GPa
0,0,268.522,23.307
2,0,224.329,8.073
4,0,249.184,7.273
6,0,274.592,6.63
8,0,287.293,5.951
10,0,244.952,6.985
12,0,256.854,7.1
14,0,279.507,21.46
16,0,292.493,23.633
18,0,262.804,11.297
20,0,286.3,20.908
22,0,268.556,16.911
24,0,280.214,10.747
26,0,317.614,21.072
28,0,288.539,22.845
30,0,290.018,25.445
32,0,244.03,6.549
34,0,226.036,7.134
36,0,268.717,6.899
38,0,261.606,15.911
40,0,266.356,21.791
42,0,314.259,22.043
44,0,284.223,9.037
46,0,208.163,7.437
48,0,255.284,8.626
48,2,272.0,8.243
46,2,248.122,8.153
44,2,247.21,6.995
42,2,258.239,19.141
40,2,221.42,6.732
38,2,225.763,7.027
36,2,221.84,7.585
34,2,257.736,7.092
32,2,288.963,9.108
30,2,297.099,23.427
28,2,278.366,20.461
26,2,279.707,12.871
24,2,280.499,20.446
22,2,283.709,21.792
20,2,293.211,22.875
18,2,250.988,7.575
16,2,268.225,22.852
14,2,238.79,13.232
12,2,203.572,5.727
10,2,278.411,20.489
8,2,293.698,22.346
6,2,254.02,19.005
4,2,218.011,6.359
2,2,237.432,6.603
0,2,225.348,6.862
0,4,270.235,8.487
2,4,261.198,7.694
4,4,231.296,7.354
6,4,255.75,7.354
8,4,276.14,21.734
10,4,283.957,22.921
12,4,283.851,6.521
14,4,218.391,7.912
16,4,249.435,5.989
18,4,263.242,23.52
20,4,251.129,12.989
22,4,250.9,7.394
24,4,262.141,20.432
26,4,258.224,20.594
28,4,241.775,6.294
30,4,267.141,9.139
32,4,276.964,21.038
34,4,240.715,7.273
36,4,214.035,6.553
38,4,297.569,6.691
40,4,269.494,7.497
42,4,271.16,15.58
44,4,283.234,20.788
46,4,268.487,21.761
48,4,202.447,7.74
48,6,265.046,7.528
46,6,281.975,23.284
44,6,283.587,23.847
42,6,296.307,23.436
40,6,275.054,22.329
38,6,307.164,25.057
36,6,262.438,6.495
34,6,273.751,7.74
32,6,276.652,20.621
30,6,227.176,6.318
28,6,239.125,6.8
26,6,282.626,10.338
24,6,293.089,10.664
22,6,279.976,24.122
20,6,329.307,11.646
18,6,268.242,12.111
16,6,235.285,5.87
14,6,246.942,7.022
12,6,293.651,21.209
10,6,274.928,22.152
8,6,239.693,6.291
6,6,293.796,7.34
4,6,256.397,8.512
2,6,244.622,7.494
0,6,250.798,8.092
0,8,257.999,8.288
2,8,249.177,7.591
4,8,266.649,7.143
6,8,247.42,7.406
8,8,271.149,20.703
10,8,282.238,20.751
12,8,292.228,22.753
14,8,278.233,20.802
16,8,288.943,7.009
18,8,270.6,10.97
20,8,260.359,13.154
22,8,278.594,11.719
24,8,256.454,9.766
26,8,278.878,23.269
28,8,276.272,22.359
30,8,251.79,11.754
32,8,269.7,21.485
34,8,257.954,20.835
36,8,245.935,7.393
38,8,249.505,14.974
40,8,214.675,5.566
42,8,271.883,6.055
44,8,256.15,7.433
46,8,266.406,7.818
48,8,236.475,8.279
48,10,236.769,7.457
46,10,241.021,7.215
44,10,235.1,9.015
42,10,245.732,6.393
40,10,221.575,7.102
38,10,224.242,6.473
36,10,251.948,6.259
34,10,265.346,7.27
32,10,312.998,9.856
30,10,257.258,10.418
28,10,288.046,6.717
26,10,248.342,5.624
24,10,230.978,6.23
22,10,276.236,6.091
20,10,210.681,6.448
18,10,285.544,22.655
16,10,234.065,6.806
14,10,253.757,7.312
12,10,260.753,8.93
10,10,273.221,8.734
8,10,242.708,6.863
6,10,255.37,21.947
4,10,293.387,22.938
2,10,253.318,13.714
0,10,227.716,6.995
0,12,258.101,7.112
2,12,259.433,20.256
4,12,265.884,22.633
6,12,260.07,21.846
8,12,220.364,7.135
10,12,296.872,7.102
12,12,228.043,8.605
14,12,241.113,15.242
16,12,241.508,15.09
18,12,272.669,17.394
20,12,273.943,20.834
22,12,259.248,18.133
24,12,256.526,10.589
26,12,270.422,12.047
28,12,261.6,7.507
30,12,269.149,22.489
32,12,261.592,21.46
34,12,265.554,20.763
36,12,294.047,7.416
38,12,207.058,7.969
40,12,219.906,6.462
42,12,299.762,22.771
44,12,274.861,20.112
46,12,214.851,11.215
48,12,272.46,6.709
48,14,255.999,6.845
46,14,234.121,15.817
44,14,268.926,21.053
42,14,274.925,23.467
40,14,273.202,21.734
38,14,224.468,6.107
36,14,251.6,16.625
34,14,287.401,25.28
32,14,280.946,22.699
30,14,240.756,8.249
28,14,260.291,8.051
26,14,253.212,6.554
24,14,241.7,17.921
22,14,248.185,8.537
20,14,253.479,14.402
18,14,230.611,6.768
16,14,283.956,9.995
14,14,249.049,6.992
12,14,253.993,6.704
10,14,230.602,6.135
8,14,286.578,21.081
6,14,281.932,18.622
4,14,256.0,7.395
2,14,242.434,6.844
0,14,251.565,7.659
0,16,281.24,7.129
2,16,233.0,7.368
4,16,255.588,7.22
6,16,220.902,8.857
8,16,233.832,10.285
10,16,258.928,16.954
12,16,269.237,20.57
14,16,258.559,11.796
16,16,275.357,18.594
18,16,294.548,8.542
20,16,263.376,5.818
22,16,244.122,10.306
24,16,260.336,6.41
26,16,267.599,20.695
28,16,218.654,7.116
30,16,255.416,7.575
32,16,210.892,7.122
34,16,261.203,8.08
36,16,233.023,6.165
38,16,227.734,6.878
40,16,282.605,20.733
42,16,271.125,19.143
44,16,266.791,19.067
46,16,260.735,22.77
48,16,261.7,20.749
48,18,254.005,21.902
46,18,269.18,21.28
44,18,209.943,6.438
42,18,242.498,10.755
40,18,252.677,17.564
38,18,246.014,7.15
36,18,201.826,7.479
34,18,229.836,8.088
32,18,275.561,7.571
30,18,223.844,6.794
28,18,261.258,7.266
26,18,261.42,6.368
24,18,268.134,19.656
22,18,272.097,9.915
20,18,261.323,6.212
18,18,280.145,11.201
16,18,247.714,9.615
14,18,244.575,6.005
12,18,225.282,8.437
10,18,250.55,20.43
8,18,293.451,6.855
6,18,254.441,6.756
4,18,256.892,10.309
2,18,229.94,15.188
0,18,208.331,9.872
0,20,297.406,21.092
2,20,284.069,20.437
4,20,297.866,19.14
6,20,229.529,8.419
8,20,283.069,23.295
10,20,252.267,9.517
12,20,245.036,6.95
14,20,274.779,20.872
16,20,283.67,6.377
18,20,248.432,12.245
20,20,251.149,6.553
22,20,274.959,12.309
24,20,269.99,21.605
26,20,269.384,19.291
