Node Number	X Location (µm)	Y Location (µm)	Z Location (µm)	Directional Deformation (µm)
12072	1,167	-1,8998	0,	3,1025e-003
12073	1,4501	-1,6936	0,	1,4537e-003
12074	1,4718	-2,0209	0,	0,
12078	1,1773	-1,6168	0,	4,89e-003
12080	-0,84671	-2,0626	0,	2,0999e-004
12081	-1,1605	-1,9034	0,	2,9625e-004
12082	-0,90099	-1,7856	0,	4,3137e-004
12086	-1,1282	-2,2309	0,	0,
12087	-1,4638	-2,0266	0,	0,
12090	-0,17341	2,2228	0,	1,4118e-004
12091	-2,9502e-007	2,5	0,	0,
12092	0,17003	2,223	0,	9,2719e-005
12096	-1,9034	1,1605	0,	2,853e-004
12097	-2,0626	0,8467	0,	2,1997e-004
12098	-2,2309	1,1283	0,	0,
12102	2,231	-1,1282	0,	0,
12103	1,9034	-1,1605	0,	1,281e-004
12104	2,0626	-0,84668	0,	9,4552e-005
12108	-1,6936	-1,4501	0,	5,1067e-004
12109	-2,0209	-1,4718	0,	0,
12110	-1,8999	-1,167	0,	4,9945e-004
12114	2,2228	0,17341	0,	1,3634e-004
12115	2,223	-0,17002	0,	8,9978e-005
12116	2,	1,5744e-007	0,	2,0879e-004
12120	-2,2228	-0,17341	0,	2,5827e-004
12121	-2,223	0,17001	0,	2,1134e-004
12122	-2,	-2,4493e-016	0,	3,9241e-004
12126	1,8999	1,1669	0,	1,5681e-003
12127	1,6936	1,4501	0,	7,6523e-004
12128	2,0209	1,4717	0,	0,
12132	2,1696	-0,51299	0,	8,3166e-005
12133	1,9769	-0,3032	0,	1,3936e-004
12136	0,51302	2,1696	0,	8,1522e-005
12137	0,30323	1,9769	0,	1,4037e-004
12140	-1,9769	0,30319	0,	3,3143e-004
12141	-2,1696	0,513	0,	1,9904e-004
12144	0,51806	-2,1684	0,	1,7586e-003
12145	0,17343	-2,2228	0,	2,1678e-004
12146	0,30625	-1,9764	0,	1,1433e-003
12150	2,1684	0,51803	0,	3,2767e-004
