Node Number	X Location (µm)	Y Location (µm)	Z Location (µm)	Directional Deformation (µm)
4162	1,8401	2,1104	0,	4,4693e-004
4164	0,78216	2,6885	0,	1,5284e-004
4166	2,5536	1,1485	0,	1,7296e-003
4168	-2,1105	1,8401	0,	1,6614e-003
4170	-0,37893	2,7742	0,	4,1603e-004
4172	1,102e-007	-2,8	0,	3,3227e-004
4174	-2,8	1,5864e-015	0,	3,4861e-004
4176	-0,38834	-2,7729	0,	2,7021e-004
4178	-2,7742	-0,37889	0,	4,1234e-004
4180	-0,76612	2,6931	0,	1,8056e-003
4182	-2,7729	0,38831	0,	3,1567e-004
4184	-3,3042e-007	2,8	0,	2,3916e-004
4186	0,37895	-2,7742	0,	6,5057e-004
4188	2,5488	-1,1592	0,	1,9687e-004
4189	2,6885	-0,78213	0,	1,5645e-004
4192	1,5067	-2,36	0,	4,777e-003
4193	1,8278	-2,1212	0,	3,0266e-003
4196	-1,5166	-2,3537	0,	4,6707e-004
4197	-1,8401	-2,1104	0,	6,2879e-004
4200	-2,3537	1,5165	0,	4,3852e-004
4202	-1,8278	2,1212	0,	5,124e-003
4204	-0,78216	-2,6885	0,	2,7742e-004
4206	-2,6932	-0,76608	0,	5,1067e-004
4208	2,7729	-0,38832	0,	1,4737e-004
4210	-2,5536	-1,1485	0,	6,3632e-004
4212	-1,1592	-2,5488	0,	3,3799e-004
4214	0,38836	2,7729	0,	1,8145e-004
4216	-2,6886	0,78211	0,	3,1186e-004
4218	2,1105	-1,8401	0,	6,7493e-004
4220	-1,1485	2,5536	0,	3,8374e-003
4222	1,1485	-2,5536	0,	6,1947e-003
4224	0,76613	-2,6931	0,	4,1572e-003
4226	2,1212	1,8277	0,	1,2477e-003
4228	-2,5488	1,1591	0,	3,4471e-004
4230	2,6932	0,76609	0,	9,1203e-004
4232	1,1592	2,5488	0,	1,5533e-004
4234	2,3537	-1,5166	0,	2,9295e-004
4236	1,5166	2,3537	0,	2,1493e-004
